title,DOI,cited,authors,year
A Tribute to Thomas A. Sebeok,10.1007/s12304-008-9007-3,8,"Susan Petrilli, Augusto Ponzio",2008
On the Meaning of Chance in Biology,10.1007/s12304-014-9206-z,8,James A. Coffman,2014
Attachment Relationships as Semiotic Scaffolding Systems,10.1007/s12304-014-9224-x,8,"Patricia M. Crittenden, Andrea Landini",2015
A Biosemiotic Encyclopedia: an Encyclopedic Model for Evolution,10.1007/s12304-018-9325-z,8,Ľudmila Lacková,2018
Toward Accommodating Biosemiotics with Experimental Sciences,10.1007/s12304-012-9156-2,8,Koichiro Matsuno,2012
The Biosemiotic Glossary Project: Intentionality,10.1007/s12304-017-9309-4,8,"Donald Favareau, Arran Gare",2017
Ecological Developmental Biology: Interpreting Developmental Signs,10.1007/s12304-016-9257-4,8,Scott F. Gilbert,2016
Semiogenesis: A Dynamic System Approach to Agency and Structure,10.1007/s12304-022-09494-8,8,J. Augustus Bacigalupi,2022
The Book of Desire: Toward a Biological Poetics,10.1007/s12304-010-9100-2,8,Andreas Weber,2010
Genomic Error-Correcting Codes in the Living World,10.1007/s12304-008-9019-z,8,Gérard Battail,2008
Von Neumann’s Theory of Self-Reproducing Automata: A Useful Framework for Biosemiotics?,10.1007/s12304-011-9127-z,8,Dennis P. Waters,2011
Becoming a Sign: The Mimic’s Activity in Biological Mimicry,10.1007/s12304-010-9095-8,8,Timo Maran,2010
Virus is a Signal for the Host Cell,10.1007/s12304-015-9245-0,8,"Jordi Gómez, Ascensión Ariza-Mateos, Isabel Cacho",2015
Autocommunication and Perceptual Markers in Landscape: Japanese Examples,10.1007/s12304-010-9082-0,8,Kati Lindström,2010
The Spatiality of Being,10.1007/s12304-014-9227-7,8,Tim Ireland,2015
Composite Agency: Semiotics of Modularity and Guiding Interactions,10.1007/s12304-017-9301-z,8,Alexei A. Sharov,2017
A Cognitive-Semiotic Approach to Agency: Assessing Ideas from Cognitive Science and Neuroscience,10.1007/s12304-022-09473-z,8,"Juan Mendoza-Collazos, Jordan Zlatev",2022
Modelling Ex Situ Animal Behaviour and Communication,10.1007/s12304-016-9264-5,7,Nelly Mäekivi,2016
Fluid Biosemiotic Mechanisms Underlie Subconscious Habits,10.1007/s12304-017-9298-3,7,"V. N. Alexander, Valerie Grimes",2017
The Concept of Umwelt Overlap and its Application to Cooperative Action in Multi-Agent Systems,10.1007/s12304-013-9185-5,7,"Maria Isabel Aldinhas Ferreira, Miguel Gama Caldas",2013
"Reconstructing the Worlds of Wildlife: Uexküll, Hediger, and Beyond",10.1007/s12304-020-09376-x,7,Matthew Chrulew,2020
Object Discernment by “A Difference Which Makes a Difference”,10.1007/s12304-018-9315-1,7,"Jaime F. Cárdenas-García, Diego Romero Castro, Bruno Soria de Mesa",2018
The Dual Nature of Mimicry: Organismal Form and Beholder’s Eye,10.1007/s12304-018-9333-z,7,"Karel Kleisner, S. Adil Saribay",2018
"Honeybees, Communicative Order, and the Collapse of Ecosystems",10.1007/s12304-009-9044-6,7,Peter Harries-Jones,2009
Organisms Reshape Sign Relations,10.1007/s12304-015-9251-2,7,"Alexei Sharov, Timo Maran, Morten Tønnessen",2015
From the Hiatus Model to the Diffuse Discontinuities: A Turning Point in Human-Animal Studies,10.1007/s12304-018-9329-8,7,Carlo Brentari,2018
Dicent Symbols in Non-Human Semiotic Processes,10.1007/s12304-011-9138-9,7,João Queiroz,2012
Creating the Umwelt: From Chance to Choice,10.1007/s12304-014-9204-1,7,S. N. Salthe,2014
The Three Semiotic Lives of Domestic Cats: A Case Study on Animal Social Cognition,10.1007/s12304-017-9295-6,7,Filip Jaroš,2017
"Relational Ontology, Simondon, and the Hope for a Third Culture inside Biosemiotics",10.1007/s12304-017-9285-8,7,Thierry Bardini,2017
Cast in Plastic: Semiotic Plasticity and the Pragmatic Reading of Darwin,10.1007/s12304-010-9108-7,7,Gerald Ostdiek,2010
Embracing the Learning Turn: The ecological context of learning,10.1007/s12304-022-09507-6,7,Cary Campbell,2022
Umwelt and Ape Language Experiments: on the Role of Iconicity in the Human-Ape Pidgin Language,10.1007/s12304-018-9312-4,7,Mirko Cerrone,2018
Knowledge Is Never Just There,10.1007/s12304-018-9320-4,7,Jesper Hoffmeyer,2018
Molecular Semiotics toward the Emergence of Life,10.1007/s12304-008-9002-8,7,Koichiro Matsuno,2008
Causation and Information: Where Is Biological Meaning to Be Found?,10.1007/s12304-020-09397-6,7,Mark Pharoah,2020
